financial_resources_rank,faculty_resources_rank,high_school_counselor_score_out_of_5,average_freshman_retention_rate,graduation_and_retention_rank,satact_25th_75th_percentile,student_selectivity_rank,rank,freshmen_in_top_10_percent_of_high_school_class,classes_with_50_or_more_students,classes_with_fewer_than_20_students,student_faculty_ratio,url,location,enrollment,tuition,predicted_graduation_rate,school_name,alumni_giving_rank,percent_of_faculty_who_are_full_time,six_year_graduation_rate,freshmen_in_top_25_percent_of_high_school_class,overperformanceunderperformance,fall_2013_acceptance_rate,peer_assessment_score_out_of_5,average_alumni_giving_rate
89,49,4.1,89,67,1160-1350,69,#58Tie,47,1,50.7,13:1,/best-colleges/fordham-university-2722,"New York, NY",15097,"$43,577",78,Fordham University,42,71.6,80,82,2,47.1,3.2,19.6
69,32,3.9,90,76,27-31,58,#58Tie,48,7,58.8,11:1,/best-colleges/smu-3613,"Dallas, TX",10929,"$45,940",77,Southern Methodist University,37,83.6,79,80,2,50.7,3,20.6
95,47,4,92,50,1040-1270,107,#58Tie,39,9,63.2,16:1,/best-colleges/syracuse-university-2882,"Syracuse, NY",21267,"$41,886",75,Syracuse University,57,84.9,81,71,6,49.5,3.3,16.4
47,91,4,93,48,1130-1330,81,#58Tie,45,17,46.7,16:1,/best-colleges/uconn-29013,"Storrs, CT",25911,"in-state: $12,700, out-of-state: $32,880",76,University of Connecticut,57,91,83,82,7,53.7,3.1,16.5
156,19,4,87,76,26-31,58,#62Tie,54,14,57.3,19:1,/best-colleges/byu-3670,"Provo, UT",31123,"$5,000",78,Brigham Young University—​Provo,86,88.2,77,85,-1,48.7,3,13.9
138,55,4,91,62,1150-1340,63,#62Tie,56,14,51.2,17:1,/best-colleges/clemson-university-3425,"Clemson, SC",21303,"in-state: $13,382, out-of-state: $30,816",77,Clemson University,28,97.1,82,86,5,57.2,3.1,23.9
82,61,4.2,90,94,1080-1320,83,#62Tie,47,18,38.1,13:1,/best-colleges/purdue-1825,"West Lafayette, IN",38788,"in-state: $10,002, out-of-state: $28,804",68,Purdue University—​West Lafayette,42,95.2,71,80,3,60.4,3.6,19.5
117,68,4,94,45,1150-1330,64,#62Tie,53,11,39.6,17:1,/best-colleges/university-of-georgia-1598,"Athens, GA",34536,"in-state: $10,836, out-of-state: $29,046",81,University of Georgia,114,94.4,83,91,2,54.7,3.4,11.2
86,129,4,95,45,1200-1420,49,#62Tie,71,17,43.7,18:1,/best-colleges/university-of-maryland-2103,"College Park, MD",37272,"in-state: $9,427, out-of-state: $29,720",84,University of Maryland—​College Park,156,87.7,84,88,0,46.9,3.6,8.2
39,110,3.9,92,67,1180-1360,62,#62Tie,53,19,41.1,14:1,/best-colleges/university-of-pittsburgh-3379,"Pittsburgh, PA",28649,"in-state: $17,772, out-of-state: $28,168",78,University of Pittsburgh,114,90.1,80,86,2,54.5,3.4,11.2
