high_school_counselor_score_out_of_5,average_alumni_giving_rate,peer_assessment_score_out_of_5,graduation_and_retention_rank,classes_with_50_or_more_students,satact_25th_75th_percentile,student_faculty_ratio,location,freshmen_in_top_25_percent_of_high_school_class,student_selectivity_rank,percent_of_faculty_who_are_full_time,alumni_giving_rank,overperformanceunderperformance,freshmen_in_top_10_percent_of_high_school_class,rank,tuition,fall_2013_acceptance_rate,average_freshman_retention_rate,url,six_year_graduation_rate,predicted_graduation_rate,enrollment,faculty_resources_rank,classes_with_fewer_than_20_students,school_name,financial_resources_rank
,3.6%,2.4,79,0.3%,16-21,15:1,"Bluefield, WV",N/A,55,76.7%,61,-6,N/A,"
                RNP
            ","in-state: $5,832, out-of-state: $11,064",41.1%,57%,/best-colleges/bluefield-state-college-3809,22%,28%,1747,55,74.9%,Bluefield State College,68
,N/A,2.3,93,N/A,810-990,N/A,"Mount Vernon, GA",N/A,74,78.5%,72,-10,N/A,"
                RNP
            ","$13,560",51.4%,42%,/best-colleges/brewton-parker-college-1557,21%,31%,,89,N/A,Brewton-​Parker College,75
,N/A,2.6,79,N/A,N/A,N/A,"Marianna, FL",N/A,88,57.1%,72,N/A,N/A,"
                RNP
            ","in-state: $3,120, out-of-state: $8,950",N/A,N/A,/best-colleges/chipola-college-1472,N/A,N/A,,96,N/A,Chipola College,75
,10.3%,2.3,90,2%,700-870,17:1,"Murfreesboro, NC",11%,93,81.2%,32,-9,2%,"
                RNP
            ","$23,050",61.5%,44%,/best-colleges/chowan-university-2916,24%,33%,1367,73,34%,Chowan University,62
,N/A,1.9,92,N/A,15-18,N/A,"Jacksonville, FL",N/A,78,100%,72,-11,N/A,"
                RNP
            ","$11,525",27.3%,54%,/best-colleges/edward-waters-college-1478,19%,30%,,85,N/A,Edward Waters College,75
,64.7%,2.6,98,6%,20-26,11:1,"Temple Terrace, FL",N/A,46,84.8%,1,-44,N/A,"
                RNP
            ","$14,490",74.1%,N/A,/best-colleges/florida-college-1482,11%,55%,558,78,66.7%,Florida College,38
,9.1%,2.7,72,0%,820-1055,19:1,"Lawrenceville, GA",15%,73,83.4%,34,N/A,4%,"
                RNP
            ","in-state: $5,352, out-of-state: $15,048",90.1%,67%,/best-colleges/georgia-gwinnett-college-41429,27%,N/A,9719,90,23.9%,Georgia Gwinnett College,97
,N/A,2.5,79,N/A,750-950,N/A,"Barnesville, GA",N/A,80,78.7%,72,N/A,N/A,"
                RNP
            ","in-state: $3,408, out-of-state: $9,695",45.3%,N/A,/best-colleges/gordon-state-college-1575,N/A,N/A,,92,N/A,Gordon State College,75
,N/A,2.6,61,N/A,790-1020,N/A,"Greensboro, NC",N/A,80,66.2%,72,-5,N/A,"
                RNP
            ","$26,306",78.3%,47%,/best-colleges/greensboro-college-2930,40%,45%,,77,N/A,Greensboro College,75
,N/A,2.6,96,0%,N/A,13:1,"Memphis, TN",N/A,77,N/A,72,-10,N/A,"
                RNP
            ","$5,450",27.4%,54%,/best-colleges/lemoyne-owen-college-3501,15%,25%,1023,18,95.1%,LeMoyne-​Owen College,42
,35.8%,2,86,1%,11-16,15:1,"Salisbury, NC",6%,98,97.6%,3,3,2%,"
                RNP
            ","$16,825",72.4%,52%,/best-colleges/livingstone-college-2942,20%,17%,1175,75,45.8%,Livingstone College,22
,N/A,1.6,77,0%,N/A,N/A,"Mayfield, KY",26%,85,44.8%,72,-8,8%,"
                RNP
            ","$13,350",87.1%,65%,/best-colleges/mid-continent-university-25762,23%,31%,,54,87.6%,Mid-​Continent University,97
,N/A,2.7,87,N/A,810-1020,N/A,"Macon, GA",N/A,72,N/A,72,5,N/A,"
                RNP
            ","in-state: $3,326, out-of-state: $9,613",47%,68%,/best-colleges/macon-state-7728,20%,15%,,95,N/A,Middle Georgia State College,75
,13%,2.3,82,0%,14-18,13:1,"Augusta, GA",15%,86,86.2%,23,-5,5%,"
                RNP
            ","$13,332",43.8%,61%,/best-colleges/paine-college-1587,21%,26%,924,44,65.4%,Paine College,33
,N/A,2.2,82,1%,13-16,N/A,"Raleigh, NC",5%,97,80.8%,72,7,1%,"
                RNP
            ","$16,480",54.5%,52%,/best-colleges/shaw-university-2962,27%,20%,,51,65.8%,Shaw University,19
,4.5%,2.1,88,N/A,665-858,13:1,"Raleigh, NC",N/A,95,79.6%,53,13,N/A,"
                RNP
            ","$17,890",67.4%,52%,/best-colleges/st-augustines-college-2968,38%,25%,1299,72,N/A,St. Augustine's University,8
,N/A,2.2,96,N/A,810-1060,10:1,"Thomasville, GA",N/A,76,68.7%,72,-2,N/A,"
                RNP
            ","$15,750",68.6%,47%,/best-colleges/thomas-university-1555,27%,29%,1090,1,N/A,Thomas University,43
,8.9%,2.5,93,4%,840-1050,16:1,"Cleveland, GA",32%,52,76.9%,36,-24,11%,"
                RNP
            ","$17,300",80.6%,65%,/best-colleges/truett-college-1597,16%,40%,1606,76,62.4%,Truett McConnell College,94
,N/A,2.8,82,N/A,19-25,N/A,"Fort Smith, AR",N/A,41,N/A,72,-12,N/A,"
                RNP
            ","in-state: $4,528, out-of-state: $10,072",57.4%,63%,/best-colleges/university-of-arkansas-fort-smith-1110,23%,35%,,92,N/A,University of Arkansas—​Fort Smith,75
,N/A,1.8,93,N/A,N/A,N/A,"Memphis, TN",N/A,92,54.2%,72,-18,N/A,"
                RNP
            ","$9,760",95.5%,64%,/best-colleges/crichton-college-9982,13%,31%,,98,N/A,Victory University,75
